Team,Age,Pace,FTr,X3PAr,TS,eFG,TOV,ORB,FTFGA,eFG.1,TOV.1,DRB,FTFGA.1,outcome,division
Houston Rockets,25.9,88.2,0.286,0.223,0.507,0.465,13.4,29,0.211,0.491,11.5,69.8,0.178,0,W
Indiana Pacers,26.1,91.9,0.328,0.182,0.527,0.477,14.2,27,0.253,0.469,13.2,71,0.227,1,E
Los Angeles Clippers,24.4,90.1,0.304,0.172,0.519,0.476,13.8,31.3,0.225,0.477,12.1,69.9,0.194,0,W
Los Angeles Lakers,27.9,92.1,0.313,0.21,0.534,0.498,11.8,28.8,0.218,0.453,13,72,0.233,5,W
Memphis Grizzlies,25.5,91.1,0.288,0.168,0.501,0.462,15.4,27.8,0.204,0.486,13.7,68,0.197,0,W
Miami Heat,30.1,87.4,0.268,0.141,0.501,0.463,14.6,26.6,0.194,0.455,13.6,74,0.249,0,E
Milwaukee Bucks,28.9,90.2,0.269,0.241,0.544,0.507,13.6,25.6,0.201,0.477,12,70.9,0.217,0,E
Minnesota Timberwolves,26.7,90.5,0.255,0.152,0.532,0.49,12.5,31.3,0.203,0.482,12.7,73.7,0.218,1,W
New Jersey Nets,26.1,91.8,0.28,0.175,0.515,0.476,13.4,29.2,0.206,0.459,14.9,71.6,0.213,4,E
New York Knicks,30.3,89.7,0.274,0.206,0.514,0.468,14,25.6,0.216,0.479,12.9,71.9,0.236,0,E
Orlando Magic,28,93.2,0.278,0.241,0.533,0.493,12.6,26.3,0.21,0.486,14.4,69.2,0.215,1,E
Philadelphia 76ers,29,88.9,0.327,0.111,0.507,0.452,14.6,31.7,0.255,0.46,14.2,72.1,0.208,1,E
Phoenix Suns,26.5,91.4,0.235,0.158,0.51,0.472,13.6,30.1,0.18,0.476,14.4,70.2,0.227,0,W
Portland Trail Blazers,29,89.3,0.285,0.198,0.528,0.485,13.5,31.8,0.218,0.489,14.2,73.3,0.202,1,W
Sacramento Kings,27,95.6,0.308,0.166,0.539,0.497,12.4,27.9,0.231,0.467,13.6,71.7,0.185,3,W
San Antonio Spurs,28.5,90,0.353,0.19,0.539,0.492,13.8,27.2,0.262,0.453,13.7,71.9,0.189,2,W
Seattle SuperSonics,26.9,89,0.25,0.193,0.54,0.505,13.2,29.4,0.189,0.485,14.5,68.1,0.206,1,W
Toronto Raptors,29.3,88.8,0.255,0.165,0.501,0.463,13.6,31.4,0.189,0.471,14.7,70.1,0.237,1,E
Utah Jazz,29.9,90.3,0.381,0.132,0.529,0.472,15.4,33.5,0.291,0.484,15.9,71.7,0.286,1,W
Washington Wizards,27.5,88.3,0.28,0.118,0.508,0.464,12.5,30.7,0.214,0.484,13,71.4,0.214,0,E
Atlanta Hawks,27.2,91,0.313,0.177,0.527,0.476,15.7,27.9,0.248,0.469,12.1,70.4,0.222,0,E
Boston Celtics,26.9,90.9,0.306,0.331,0.514,0.47,13.4,23.6,0.227,0.471,15.1,72.5,0.242,2,E
Chicago Bulls,25.2,93.5,0.3,0.148,0.512,0.471,15.4,27.7,0.217,0.47,13.3,69.5,0.263,0,E
Cleveland Cavaliers,23.5,94,0.298,0.133,0.491,0.444,16.4,31,0.223,0.484,13,73.2,0.252,0,E
Dallas Mavericks,28.1,92.5,0.257,0.239,0.543,0.498,10.9,25.4,0.213,0.473,14.8,70.9,0.221,3,W
Denver Nuggets,24.1,91,0.283,0.126,0.469,0.428,17.1,31.3,0.198,0.477,16.5,73.3,0.29,0,W
Detroit Pistons,29,86.8,0.322,0.237,0.523,0.473,13.3,25.9,0.248,0.461,13.9,74,0.225,3,E
Golden State Warriors,24.4,94.2,0.343,0.178,0.526,0.472,13.9,35,0.267,0.482,12.2,67.9,0.22,0,W
Houston Rockets,25.9,88.8,0.316,0.196,0.522,0.474,14.8,30.3,0.243,0.462,12.6,72.4,0.209,0,W
Indiana Pacers,25.9,91.6,0.344,0.169,0.522,0.469,13.7,29,0.263,0.458,14.3,72.3,0.228,1,E
Los Angeles Clippers,25.3,91.3,0.335,0.182,0.516,0.467,14.8,29.1,0.252,0.481,13.1,70.2,0.222,0,W
Los Angeles Lakers,28.1,92.5,0.311,0.199,0.528,0.486,13.3,30.2,0.228,0.477,13.4,72.7,0.241,2,W
Memphis Grizzlies,24.9,92.7,0.287,0.19,0.526,0.487,14.2,27,0.212,0.491,13.4,68.7,0.197,0,W
Miami Heat,26.5,87.8,0.259,0.169,0.483,0.439,13.8,26.8,0.198,0.47,14.1,73.9,0.257,0,E
Milwaukee Bucks,29.3,90.4,0.287,0.229,0.543,0.5,12.2,25.6,0.222,0.494,13.5,69.9,0.237,1,E
Minnesota Timberwolves,28.2,91.9,0.268,0.118,0.528,0.488,12.9,28.2,0.206,0.472,12.7,72.9,0.203,1,W
New Jersey Nets,27.3,91.6,0.333,0.158,0.518,0.468,13.8,28.7,0.252,0.46,15.7,73.1,0.225,4,E
